Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,Championship,Player_Team
Martín Benítez,ARG,"MF,FW",29,18,14,1076.0,12.0,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,2.6,2.6,4.0,6.5,25.0,72.0,56.0,0.25,0.33,0.59,0.25,0.59,0.21,0.33,0.55,0.21,0.55,america-mg,Brasileiro,Martín Benítez (america-mg)
Breno Cascardo,BRA,MF,20,23,13,1092.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.5,1.8,22.0,71.0,32.0,0.08,0.0,0.08,0.08,0.08,0.11,0.04,0.15,0.11,0.15,america-mg,Brasileiro,Breno Cascardo (america-mg)
Everaldo,BRA,"FW,MF",29,18,13,1037.0,11.5,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,2.0,3.1,49.0,43.0,81.0,0.09,0.26,0.35,0.09,0.35,0.1,0.18,0.27,0.1,0.27,america-mg,Brasileiro,Everaldo (america-mg)
Ale,BRA,MF,33,23,12,1199.0,13.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.8,1.8,1.2,3.0,25.0,90.0,28.0,0.08,0.0,0.08,0.08,0.08,0.14,0.09,0.23,0.14,0.23,america-mg,Brasileiro,Ale (america-mg)
Rodriguinho,BRA,DF,20,16,12,947.0,10.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,1.7,2.2,44.0,27.0,83.0,0.19,0.19,0.38,0.19,0.38,0.04,0.17,0.21,0.04,0.21,america-mg,Brasileiro,Rodriguinho (america-mg)
Lucas Kal,BRA,MF,27,15,12,945.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.0,1.3,17.0,70.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,america-mg,Brasileiro,Lucas Kal (america-mg)
Mateus Pasinato,BRA,GK,31,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Mateus Pasinato (america-mg)
Marcinho,BRA,DF,27,12,10,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,12.0,40.0,23.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,america-mg,Brasileiro,Marcinho (america-mg)
Aloísio dos Santos Gonçalves,CHN,"FW,MF",35,12,10,717.0,8.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0,0.0,4.1,2.7,0.7,3.4,6.0,9.0,49.0,0.38,0.13,0.5,0.13,0.25,0.52,0.09,0.61,0.34,0.43,america-mg,Brasileiro,Aloísio dos Santos Gonçalves (america-mg)
Nicolas,BRA,DF,26,11,8,720.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,15.0,18.0,24.0,0.12,0.12,0.25,0.12,0.25,0.03,0.02,0.05,0.03,0.05,america-mg,Brasileiro,Nicolas (america-mg)
Jori,BRA,GK,27,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Jori (america-mg)
Daniel Borges,BRA,DF,30,11,6,602.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,1.4,1.5,16.0,33.0,25.0,0.0,0.15,0.15,0.0,0.15,0.01,0.21,0.22,0.01,0.22,america-mg,Brasileiro,Daniel Borges (america-mg)
Mateus Henrique,BRA,DF,21,11,6,475.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.7,5.0,11.0,21.0,0.0,0.19,0.19,0.0,0.19,0.03,0.11,0.14,0.03,0.14,america-mg,Brasileiro,Mateus Henrique (america-mg)
Wanderson,BRA,DF,32,7,5,500.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,america-mg,Brasileiro,Wanderson (america-mg)
Rodrigo Varanda,BRA,"FW,MF",20,12,4,516.0,5.7,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,1.2,2.8,18.0,20.0,40.0,0.35,0.17,0.52,0.35,0.52,0.28,0.21,0.49,0.28,0.49,america-mg,Brasileiro,Rodrigo Varanda (america-mg)
Pedrinho,BRA,"FW,MF",24,8,4,411.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.2,29.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.25,0.16,0.25,america-mg,Brasileiro,Pedrinho (america-mg)
Esteban Burgos,ARG,DF,31,4,4,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Esteban Burgos (america-mg)
Renato Marques,BRA,"FW,MF",19,8,2,287.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,6.0,5.0,13.0,0.31,0.31,0.63,0.31,0.63,0.06,0.19,0.25,0.06,0.25,america-mg,Brasileiro,Renato Marques (america-mg)
Óscar Méndez,URU,MF,28,7,2,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Óscar Méndez (america-mg)
Júlio César,BRA,DF,20,5,2,248.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,12.0,1.0,0.0,0.36,0.36,0.0,0.36,0.07,0.02,0.08,0.07,0.08,america-mg,Brasileiro,Júlio César (america-mg)
Matheusinho,BRA,"MF,FW",25,7,2,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,2.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.23,0.15,0.38,0.23,0.38,america-mg,Brasileiro,Matheusinho (america-mg)
Nino Paraíba,BRA,DF,37,4,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.5,4.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.03,0.22,0.24,0.03,0.24,america-mg,Brasileiro,Nino Paraíba (america-mg)
Washington Aguerre,URU,GK,30,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Washington Aguerre (america-mg)
Henrique Almeida,BRA,FW,32,4,2,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.22,0.2,0.42,0.22,0.42,america-mg,Brasileiro,Henrique Almeida (america-mg)
Paulinho,BRA,FW,25,3,2,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.22,0.01,0.22,america-mg,Brasileiro,Paulinho (america-mg)
Juan Cazares,ECU,"MF,FW",31,12,1,283.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.1,1.3,5.0,18.0,23.0,0.0,0.32,0.32,0.0,0.32,0.09,0.34,0.42,0.09,0.42,america-mg,Brasileiro,Juan Cazares (america-mg)
Mikael,BRA,FW,24,5,1,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.47,0.12,0.6,0.47,0.6,america-mg,Brasileiro,Mikael (america-mg)
Arthur,BRA,DF,20,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,america-mg,Brasileiro,Arthur (america-mg)
Wellington Paulista,BRA,FW,39,10,0,227.0,2.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.9,1.0,0.1,1.0,2.0,5.0,5.0,0.4,0.0,0.4,0.4,0.4,0.77,0.02,0.79,0.39,0.41,america-mg,Brasileiro,Wellington Paulista (america-mg)
Adyson,BRA,"FW,MF",18,5,0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,9.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.25,0.05,0.25,america-mg,Brasileiro,Adyson (america-mg)
Mateus Gonçalves Martins,BRA,"MF,FW",29,3,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Mateus Gonçalves Martins (america-mg)
Renato Kayser,BRA,"FW,MF",27,3,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.84,0.12,0.97,0.84,0.97,america-mg,Brasileiro,Renato Kayser (america-mg)
Rafael Barcelos,BRA,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Rafael Barcelos (america-mg)
Adailson Dadá,BRA,MF,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Adailson Dadá (america-mg)
Paulinho,BRA,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Paulinho (america-mg)
Robson,BRA,GK,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Robson (america-mg)
Bento,BRA,GK,24,29,29,2610.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,athletico-pr,Brasileiro,Bento (athletico-pr)
Thiago Heleno,BRA,DF,35,29,28,2509.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.8,0.8,0.2,1.0,2.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,athletico-pr,Brasileiro,Thiago Heleno (athletico-pr)
Erick,BRA,MF,26,29,26,2139.0,23.8,4.0,3.0,7.0,4.0,0.0,0.0,6.0,0.0,4.8,4.8,2.4,7.2,25.0,99.0,27.0,0.17,0.13,0.29,0.17,0.29,0.2,0.1,0.3,0.2,0.3,athletico-pr,Brasileiro,Erick (athletico-pr)
Agustín Canobbio,URU,"FW,MF",25,27,21,1981.0,22.0,3.0,5.0,8.0,3.0,0.0,0.0,10.0,0.0,4.7,4.7,3.3,8.0,76.0,70.0,198.0,0.14,0.23,0.36,0.14,0.36,0.22,0.15,0.37,0.22,0.37,athletico-pr,Brasileiro,Agustín Canobbio (athletico-pr)
Vitor Bueno,BRA,"MF,FW",29,28,21,1786.0,19.8,4.0,4.0,8.0,1.0,3.0,3.0,7.0,0.0,5.0,2.8,6.0,8.8,63.0,128.0,99.0,0.2,0.2,0.4,0.05,0.25,0.25,0.3,0.56,0.14,0.44,athletico-pr,Brasileiro,Vitor Bueno (athletico-pr)
Fernandinho,BRA,MF,38,22,20,1666.0,18.5,1.0,3.0,4.0,0.0,1.0,1.0,10.0,1.0,1.1,0.4,1.9,2.2,30.0,169.0,43.0,0.05,0.16,0.22,0.0,0.16,0.06,0.1,0.16,0.02,0.12,athletico-pr,Brasileiro,Fernandinho (athletico-pr)
Tomás Cuello,ARG,"FW,MF",23,28,18,1721.0,19.1,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,4.4,5.9,69.0,52.0,142.0,0.0,0.21,0.21,0.0,0.21,0.08,0.23,0.31,0.08,0.31,athletico-pr,Brasileiro,Tomás Cuello (athletico-pr)
Vitor Roque,BRA,FW,18,22,18,1558.0,17.3,11.0,3.0,14.0,11.0,0.0,0.0,6.0,0.0,8.2,8.2,1.2,9.4,40.0,22.0,105.0,0.64,0.17,0.81,0.64,0.81,0.48,0.07,0.54,0.48,0.54,athletico-pr,Brasileiro,Vitor Roque (athletico-pr)
Lucas Esquivel,ARG,DF,22,18,17,1561.0,17.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.4,1.6,27.0,65.0,46.0,0.0,0.06,0.06,0.0,0.06,0.01,0.08,0.09,0.01,0.09,athletico-pr,Brasileiro,Lucas Esquivel (athletico-pr)
Cacá,BRA,DF,24,16,16,1424.0,15.8,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.1,1.1,0.3,1.4,10.0,33.0,7.0,0.13,0.0,0.13,0.13,0.13,0.07,0.02,0.09,0.07,0.09,athletico-pr,Brasileiro,Cacá (athletico-pr)
Pablo,BRA,FW,31,25,14,1396.0,15.5,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,6.1,6.1,1.6,7.7,15.0,36.0,60.0,0.45,0.13,0.58,0.45,0.58,0.39,0.1,0.49,0.39,0.49,athletico-pr,Brasileiro,Pablo (athletico-pr)
Hugo Moura,BRA,MF,25,28,14,1229.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.2,0.5,11.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,athletico-pr,Brasileiro,Hugo Moura (athletico-pr)
Khellven,BRA,DF,22,15,13,995.0,11.1,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.4,3.4,18.0,18.0,51.0,0.0,0.36,0.36,0.0,0.36,0.09,0.22,0.31,0.09,0.31,athletico-pr,Brasileiro,Khellven (athletico-pr)
Mádson,BRA,DF,31,20,12,1095.0,12.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,3.7,4.4,7.0,41.0,58.0,0.08,0.16,0.25,0.08,0.25,0.06,0.3,0.36,0.06,0.36,athletico-pr,Brasileiro,Mádson (athletico-pr)
Bruno Zapelli,ARG,"MF,FW",21,17,12,1047.0,11.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.3,2.3,1.8,4.2,29.0,62.0,66.0,0.17,0.17,0.34,0.17,0.34,0.2,0.16,0.36,0.2,0.36,athletico-pr,Brasileiro,Bruno Zapelli (athletico-pr)
Christian,BRA,"MF,FW",22,17,10,1045.0,11.6,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.5,2.5,1.2,3.7,18.0,60.0,51.0,0.34,0.0,0.34,0.34,0.34,0.21,0.1,0.32,0.21,0.32,athletico-pr,Brasileiro,Christian (athletico-pr)
Zé Ivaldo,BRA,DF,26,14,10,1016.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.1,0.2,9.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,athletico-pr,Brasileiro,Zé Ivaldo (athletico-pr)
Pedro Henrique,BRA,DF,28,11,10,855.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,8.0,35.0,2.0,0.11,0.0,0.11,0.11,0.11,0.06,0.01,0.07,0.06,0.07,athletico-pr,Brasileiro,Pedro Henrique (athletico-pr)
Alex Santana,BRA,MF,28,20,9,988.0,11.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0,1.0,1.2,1.2,0.2,1.3,19.0,45.0,17.0,0.27,0.0,0.27,0.27,0.27,0.11,0.01,0.12,0.11,0.12,athletico-pr,Brasileiro,Alex Santana (athletico-pr)
Fernando,BRA,DF,24,6,6,477.0,5.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,0.9,17.0,15.0,31.0,0.0,0.38,0.38,0.0,0.38,0.01,0.16,0.17,0.01,0.17,athletico-pr,Brasileiro,Fernando (athletico-pr)
Arturo Vidal,CHI,MF,36,7,6,380.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,1.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,athletico-pr,Brasileiro,Arturo Vidal (athletico-pr)
Rômulo,BRA,"FW,MF",21,16,5,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.5,9.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3,athletico-pr,Brasileiro,Rômulo (athletico-pr)
Leonardo Linck,BRA,GK,22,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Leonardo Linck (athletico-pr)
Kaique Rocha,BRA,DF,22,7,5,437.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,1.0,4.0,0.0,0.21,0.0,0.21,0.21,0.21,0.04,0.01,0.05,0.04,0.05,athletico-pr,Brasileiro,Kaique Rocha (athletico-pr)
Matheus Felipe,BRA,DF,25,7,5,429.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,athletico-pr,Brasileiro,Matheus Felipe (athletico-pr)
David Terans,URU,"MF,FW",29,9,5,393.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.3,1.2,5.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.28,0.2,0.28,athletico-pr,Brasileiro,David Terans (athletico-pr)
Pedrinho,BRA,"DF,MF",21,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,athletico-pr,Brasileiro,Pedrinho (athletico-pr)
Vinicius Kaue,BRA,"DF,MF",20,5,4,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,athletico-pr,Brasileiro,Vinicius Kaue (athletico-pr)
Willian,BRA,"FW,MF",37,14,3,379.0,4.2,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,1.4,2.0,8.0,29.0,0.71,0.0,0.71,0.71,0.71,0.27,0.06,0.32,0.27,0.32,athletico-pr,Brasileiro,Willian (athletico-pr)
Léo Cittadini,BRA,"MF,FW",29,5,3,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.9,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.33,0.39,0.07,0.39,athletico-pr,Brasileiro,Léo Cittadini (athletico-pr)
Thiago,BRA,"FW,MF",23,10,2,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,4.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.11,0.09,0.11,athletico-pr,Brasileiro,Thiago (athletico-pr)
Luciano Arriagada,CHI,"FW,MF",21,9,1,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.4,0.28,0.68,0.4,0.68,athletico-pr,Brasileiro,Luciano Arriagada (athletico-pr)
Bruno Peres,BRA,DF,33,3,1,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Bruno Peres (athletico-pr)
Marcelo Cirino,BRA,"FW,MF",31,4,1,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.33,0.07,0.41,0.33,0.41,athletico-pr,Brasileiro,Marcelo Cirino (athletico-pr)
Reinaldo,BRA,FW,22,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,athletico-pr,Brasileiro,Reinaldo (athletico-pr)
Chiqueti,BRA,MF,18,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Chiqueti (athletico-pr)
Danielzinho,BRA,FW,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Danielzinho (athletico-pr)
Bryan García,ECU,MF,22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Bryan García (athletico-pr)
